SUBJECT 10
  sensor        std     range
--------  ---------  --------
       0   10.5911    72.5664
       1    4.93181   27.6074
       2    6.29448   57.9161
       3   15.144    183.287
       4   16.9045   125.064
       5  nan        nan
       6   16.7046   123.566
       7   14.3568    98.9788
       8    8.98082  144.496
       9    9.14665   68.7722
      10    7.05657   51.266
      11   13.0977   228.765
      12    2.06088   16.2513
      13   27.9254   145.918
      14   15.256    110.705
      15    5.97407   58.81
      16    9.31388  123.914
      17   20.8664   225.415
      18   40.4704   309.845
      19   18.8481   129.78
      20   18.2328   140.646
      21    5.06232   42.6147

SUBJECT 25
  sensor        std     range
--------  ---------  --------
       0    8.73455   70.2137
       1    5.49819   35.7138
       2    5.49193   81.3746
       3   17.6767   156.491
       4   15.7911   108.632
       5  nan        nan
       6   23.3517   132.632
       7   18.2933   111.447
       8   13.5645   135.894
       9   18.4878    97.974
      10    7.16283   87.1721
      11   26.7248   209.941
      12    2.08342   18.2471
      13   27.8168   163.165
      14    7.61554   62.4095
      15   12.9763   113.165
      16   16.2393   117.613
      17   27.7383   229.132
      18   46.5372   348
      19   16.4978   127.26
      20   17.6809   154.039
      21   10.1747    85.0779

SUBJECT 4
  sensor        std     range
--------  ---------  --------
       0    8.92383   76.8328
       1    4.61224   32.8824
       2    5.98447   58.9939
       3   11.9592    95.2702
       4   10.712     93.1135
       5  nan        nan
       6   15.2144   114.48
       7    9.97061   89.5491
       8   13.3528    89.7868
       9    9.53808   66.9328
      10    4.47179   53.1586
      11   24.2944   203.127
      12    2.14862   16.2513
      13   22.5036   139.704
      14   15.0008   117.445
      15   11.7184   106.881
      16   14.7284   175.987
      17   17.8902   169.26
      18   25.9157   251.834
      19    9.07372   95.76
      20   19.5018   142.62
      21    8.82051   74.4189

SUBJECT 21
  sensor        std     range
--------  ---------  --------
       0    7.68153   64.9784
       1    3.36579   25.8762
       2    6.35131   48.3571
       3   16.2133   130.997
       4   12.6998    87.5019
       5  nan        nan
       6   16.4654   125.383
       7   13.7614   109.36
       8    8.78751  133.94
       9   13.6941    80.5133
      10    3.79033   45.9626
      11   18.9209   179.843
      12    2.26107   16.5365
      13   25.1315   145.036
      14    7.7711    63.2283
      15    7.62813  100.325
      16   11.7783   137.16
      17   24.6528   212.803
      18   37.3612   282
      19   16.5711   117.18
      20   18.5165   133.572
      21    7.78193   66.3676

SUBJECT 14
  sensor        std     range
--------  ---------  --------
       0   12.5496    82.434
       1    3.62129   22.445
       2    5.3576    51.0333
       3   20.4323   169.105
       4   18.8188   128.716
       5  nan        nan
       6   22.6543   129.018
       7   21.7599   116.223
       8   11.4129   129.654
       9   11.1496    64.0226
      10    8.5614    54.357
      11   12.8181   260.411
      12    2.20985   14.5407
      13   26.6446   185.56
      14   10.7878    87.5108
      15    3.75252   41.8798
      16   10.3561   199.745
      17   18.7905   189.28
      18   37.5807   278
      19   16.4567   122.22
      20   19.9947   131.14
      21    6.68324   56.5111

SUBJECT 11
  sensor        std     range
--------  ---------  --------
       0   10.5447    80.7051
       1    4.40805   31.7641
       2    8.60691   71.9734
       3   18.8422   170.295
       4   14.8686    94.0264
       5  nan        nan
       6   18.4834   137.195
       7   15.4796   120.034
       8   11.1197   109.295
       9    9.99035   74.6931
      10    6.2989    55.1832
      11   18.8165   145.222
      12    2.17145   17.1067
      13   23.2019   151.434
      14   13.7532   104.527
      15   10.0581    86.4329
      16   14.8644   178.2
      17   25.7335   183.82
      18   41.2252   347.62
      19   17.0368   132.3
      20   19.0364   151.685
      21   13.9012    90.4777

SUBJECT 1
  sensor        std     range
--------  ---------  --------
       0    7.92734   65.3816
       1    5.09051   28.6922
       2    6.60846   57.7384
       3   17.7241   159.396
       4   12.833    100.417
       5  nan        nan
       6   17.3577   143.436
       7   17.6254   115.271
       8   13.2636    90.9294
       9   12.6302    83.4234
      10    5.44943   47.7096
      11   21.8279   241.172
      12    2.671     17.962
      13   28.7242   173.83
      14   12.9171    82.9617
      15   21.3532   139.896
      16   19.6731   209.52
      17   29.4937   198.38
      18   53.0248   394
      19   15.9459   110.527
      20   23.8082   161.996
      21   10.0406    95.8672

SUBJECT 24
  sensor        std     range
--------  ---------  --------
       0   11.9125    98.9473
       1    3.33718   28.2849
       2    5.98571   81.5206
       3   19.7541   170.295
       4   18.1622   130.541
       5  nan        nan
       6   19.8266   138.103
       7   18.6274   126.702
       8   13.8264   120.978
       9   18.7746   127.075
      10    4.78801   48.974
      11   23.8067   197.313
      12    1.89947   18.522
      13   28.113    205.823
      14   10.0944    94.0309
      15    7.70492   70.3938
      16   16.3965   233.175
      17   26.5683   203.788
      18   47.2713   364
      19   18.6484   151.2
      20   16.3466   153.527
      21    8.45023   86.3506

SUBJECT 20
  sensor        std     range
--------  ---------  --------
       0   11.6034    96.0293
       1    3.42495   24.2886
       2    6.96504   66.9128
       3   15.8307   166.388
       4   15.1965   114.11
       5  nan        nan
       6   18.0522   129.926
       7   16.1355   108.602
       8    7.66899  143.448
       9   15.4306    97.004
      10    5.09526   44.5552
      11   16.2096   252.561
      12    2.34801   24.5196
      13   28.5606   161.032
      14    7.7645    54.3376
      15   10.3213   116.729
      16   14.1245   167.4
      17   22.3523   234.78
      18   42.5763   330
      19   15.8804   124.74
      20   20.3894   193.588
      21    6.02061   63.0414

SUBJECT 5
  sensor        std     range
--------  ---------  --------
       0    9.03041   73.9384
       1    6.57703   32.6946
       2    6.85983   60.7276
       3   21.742    163.15
       4   16.458    107.72
       5  nan        nan
       6   26.7273   149.915
       7   24.9569   128.608
       8   15.2896   115.724
       9   12.9159    69.8429
      10    8.9995    58.5886
      11   34.5989   260.453
      12    2.66072   15.1109
      13   29.753    159.966
      14   12.6981   104.731
      15   20.0263   126.531
      16   17.7697   221.389
      17   26.0614   194.74
      18   39.0221   290
      19   18.225    142.38
      20   24.027    136.282
      21    9.53628   76.6194

SUBJECT 15
  sensor        std     range
--------  ---------  --------
       0   12.1038    81.416
       1    6.37173   30.4596
       2    7.59971   65.731
       3   13.8221   161.841
       4   16.469    135.106
       5  nan        nan
       6   19.1725   131.743
       7   16.2868   123.844
       8    9.6565   129.347
       9    9.11349   63.0526
      10    8.40024   70.3845
      11   13.5508   280.974
      12    1.86603   13.6853
      13   24.2686   168.497
      14   15.2829   125.891
      15    6.81884   85.5332
      16   15.1647   159.761
      17   19.7743   207.374
      18   39.8688   353.868
      19   16.7057   131.04
      20   16.9054   123.841
      21    5.38504   49.8638

SUBJECT 2
  sensor        std     range
--------  ---------  --------
       0   10.112     82.5185
       1    4.58432   25.2875
       2    9.30625   76.4718
       3   21.3943   150.051
       4   15.1713   121.413
       5  nan        nan
       6   26.5912   134.469
       7   16.5881   120.034
       8   12.2279   113.332
       9    8.4753    67.9028
      10    7.97065   61.0168
      11   23.5688   233.619
      12    1.81722   14.5407
      13   26.2662   167.275
      14   18.7582   143.197
      15   14.0345   106.036
      16   20.6127   177.384
      17   27.9638   205.66
      18   35.1858   314
      19   14.6743   105.84
      20   16.3233   128.49
      21   11.6289   100.093

SUBJECT 27
  sensor        std     range
--------  ---------  --------
       0    8.43813   77.4559
       1    5.00361   44.8006
       2    4.89035   46.6703
       3   13.0918   111.942
       4   10.6916   102.242
       5  nan        nan
       6   18.6057   127.2
       7   12.7935    98.1229
       8   11.9377    99.6515
       9   13.6411   104.764
      10    3.22929   34.1706
      11   21.7642   172.057
