ITERATION           LOSS    MEAN_ABS_ERROR    % PREDICTIONS > 1    % PREDICTIONS > 3    % PREDICTIONS > 5
-----------  -----------  ----------------  -------------------  -------------------  -------------------
0            0.000155649         0.0091568             0.622648             0.183424            0.0515033
1            0.000323794         0.0145613             0.818744             0.427387             0.146062
2            0.000172848        0.00989868             0.674129             0.215207            0.0611263
3            0.000166879        0.00966097             0.665116             0.205945            0.0531523
4            0.000185463         0.0103667             0.717884             0.230048            0.0656893
5            0.000163148        0.00939069             0.623009             0.198672            0.0599291
6            0.000274677         0.0137999             0.833202             0.401568             0.103458
7            0.000155857        0.00914115             0.628227             0.187016            0.0518421
8            0.000140326         0.0084986              0.58506             0.159818            0.0462852
9            0.000213342         0.0115449             0.766202             0.263842            0.0731889
MEAN         0.000195198          0.010602             0.693422             0.247293            0.0712237
STD          5.63286e-05        0.00195811            0.0826272            0.0879053            0.0293545
