ITERATION           LOSS    MEAN_ABS_ERROR    FRACTION OF PREDICTIONS W/ ERROR > 1    FRACTION OF PREDICTIONS W/ ERROR > 3    FRACTION OF PREDICTIONS W/ ERROR > 5
-----------  -----------  ----------------  --------------------------------------  --------------------------------------  --------------------------------------
0            0.000460344         0.0154838                                0.754371                                 0.40402                                  0.2048
1            0.000584232         0.0186963                                0.838131                                0.522002                                0.281042
2            0.000512512         0.0164829                                 0.78822                                0.431146                                0.222658
3            0.000410184         0.0149105                                0.784322                                0.386768                                0.174709
4            0.000590406          0.018781                                0.840768                                0.521442                                0.284614
5            0.000509656         0.0169276                                 0.80762                                0.460677                                0.234424
6            0.000463791         0.0160085                                0.801293                                0.433901                                0.207461
7            0.000605337         0.0193763                                0.843383                                0.568504                                0.301375
8            0.000450145         0.0161805                                 0.81502                                0.451666                                0.208044
9            0.000411816         0.0150416                                0.774121                                0.393422                                0.186101
MEAN         0.000499842         0.0167889                                0.804725                                0.457355                                0.230523
STD          6.91565e-05        0.00153878                               0.0286295                               0.0581682                               0.0416683
