  OFFSET          0          1          2          3          4          5          6          7          8          9       MEAN         STD
--------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ----------
       0  0.0384705  0.0273355  0.0771745  0.0379336  0.0302769          1  0.0354125  0.0237639  0.0233438  0.0277324   0.132144    0.289664
       5  0.0307444  0.0644303   0.190093   0.038915   0.137988  0.0391251  0.0422298  0.0271494   0.109672  0.0183486  0.0698695    0.054208
      10  0.0423476  0.0369316  0.0359277  0.0353674   0.093216  0.0843683  0.0311187  0.0400831    0.10155  0.0320758  0.0532986   0.0264859
      15  0.0346913  0.0336874  0.0384499   0.031703  0.0934516          1          1  0.0379129   0.143434  0.0453834   0.245871    0.378563
      20  0.0583415  0.0335481  0.0528085  0.0437503  0.0433534  0.0431666  0.0427698  0.0428865  0.0424896  0.0499837  0.0453098  0.00646041
      25   0.037191  0.0807321   0.114001   0.047977   0.110756  0.0932692  0.0911447  0.0395956   0.054981          1   0.166965    0.278979
      30  0.0480248  0.0603754  0.0489821  0.0857069  0.0680566  0.0496825   0.109754   0.101583   0.133358  0.0397833  0.0745307   0.0299675
      35   0.100138   0.300367    0.15804  0.0861992  0.0594196  0.0780276   0.126567    0.03822   0.244916   0.164203    0.13561   0.0792466
      40   0.133248  0.0870651   0.146533   0.114523  0.0885828  0.0499183  0.0722624   0.143941  0.0461359   0.106771   0.098898   0.0345293
      45  0.0518107   0.643349   0.140862  0.0537019   0.170702          1  0.0792454  0.0603563  0.0742955   0.120596   0.239492    0.304117
      50   0.740474          1  0.0738069    0.11287   0.183642  0.0521388  0.0806482   0.825862   0.345498  0.0956384   0.351058    0.344613
      55    0.06162  0.0561795  0.0601723   0.195111    0.14269   0.116936  0.0785719  0.0683214          1   0.119107   0.189871    0.273349
      60  0.0674123  0.0711717  0.0546631  0.0693971    0.05046  0.0501564   0.069327  0.0537991   0.145916  0.0610844  0.0693387   0.0266843
      65   0.143678  0.0500409   0.104518   0.062627  0.0978867  0.0609691   0.111967   0.223117   0.060432  0.0930765   0.100831   0.0492508
      70  0.0747712  0.0766159  0.0589856  0.0938726   0.122198  0.0954838  0.0654306    0.06466  0.0551326  0.0738605  0.0781011   0.0193929
      75  0.0592906   0.123205  0.0906289  0.0982182   0.131051   0.141116  0.0649184  0.0720407   0.237863  0.0658058   0.108414   0.0514017
      80  0.0957919  0.0690533   0.119144  0.0781374   0.116202   0.083345  0.0864509          1  0.0620008  0.0841623   0.179429    0.274071
      85  0.0703627  0.0754303  0.0718339   0.207749   0.075547          1  0.0690315   0.225217  0.0907966   0.280283   0.216625    0.271605
      90  0.0766464  0.0716021   0.102522  0.0616067  0.0737272   0.370341  0.0695936   0.527931   0.172209          1   0.252618    0.290336
      95   0.182699          1  0.0595063          1  0.0787034  0.0768117   0.101824  0.0883486    0.19106  0.0720708   0.285102    0.360007
     100   0.116493  0.0848708   0.116797  0.0946097  0.0862254  0.0926713  0.0781447  0.0875333   0.151759   0.161544   0.107065   0.0276697
