  OFFSET           0           1           2           3           4           5           6           7           8           9        MEAN         STD
--------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------
       0  0.00779168    0.691598   0.0073938  0.00757091  0.00694874   0.0119861   0.0143018  0.00809314  0.00780341   0.0121837   0.0775672    0.204691
       5   0.0131301  0.00771049   0.0113426   0.0141278  0.00793832  0.00937845   0.0100046   0.0116982  0.00801662  0.00788326    0.010123  0.00222855
      10  0.00881564   0.0162366  0.00848872  0.00837255  0.00706076  0.00798673  0.00901258  0.00845493  0.00760233   0.0149334  0.00969642   0.0030075
      15  0.00741889   0.0121599  0.00827959  0.00876043  0.00997821  0.00949603  0.00960597   0.0115987  0.00800573    0.010805  0.00961084  0.00147986
      20  0.00796245  0.00929593   0.0118734  0.00798893  0.00894426   0.0126251  0.00806175  0.00928353   0.0114416    0.691517   0.0778994    0.204546
      25  0.00828026    0.010828   0.0120703   0.0121059    0.010823     0.69147  0.00911462   0.0106091    0.691339   0.0094885    0.146613    0.272398
      30    0.691429  0.00899129  0.00945372  0.00936523   0.0167504   0.0162775  0.00924072  0.00831198  0.00966213   0.0105275   0.0790009    0.204163
      35  0.00849032   0.0096939  0.00860942   0.0115726   0.0124764   0.0083908   0.0200895  0.00881254  0.00883442  0.00884878   0.0105819  0.00343523
      40    0.691684   0.0086072  0.00911706   0.0217056  0.00842742   0.0187751  0.00909552   0.0154356   0.0446977   0.0112244    0.083877    0.202872
      45   0.0122061   0.0273576  0.00932935   0.0115806   0.0107131   0.0168501   0.0264939   0.0110848  0.00834622  0.00946647   0.0143428  0.00666468
      50   0.0179589  0.00956378   0.0172452   0.0102305   0.0424843   0.0112092   0.0113297   0.0087871    0.691741  0.00914787   0.0829697    0.203151
      55  0.00977396   0.0093466   0.0105019    0.014364   0.0111977  0.00893684   0.0199448   0.0184407  0.00913948   0.0122769   0.0123923  0.00375737
      60  0.00874942   0.0110463   0.0123287  0.00940964   0.0142222    0.691498   0.0099627   0.0121189   0.0110899   0.0112472   0.0791673    0.204116
      65   0.0110587   0.0147508   0.0086987  0.00914736    0.008848  0.00877674   0.0159297  0.00892469   0.0102281   0.0115014   0.0107864  0.00247739
      70   0.0125547   0.0108891  0.00903474    0.691723   0.0105206    0.691411   0.0132283  0.00894449    0.691489   0.0112961    0.215109      0.3119
      75    0.691341  0.00987803   0.0161051   0.0154601   0.0173463  0.00922097  0.00849594   0.0102539    0.013425   0.0284915   0.0820018     0.20319
      80   0.0140295    0.012435  0.00872885   0.0160576   0.0095576  0.00931021  0.00956838   0.0137192   0.0145291  0.00928851   0.0117224  0.00257913
      85  0.00911938   0.0102551   0.0127435   0.0115209   0.0104023   0.0114357    0.691575   0.0105329  0.00943884    0.691437    0.146846    0.272332
      90   0.0108666   0.0105318   0.0117326  0.00912547   0.0193607   0.0161423   0.0154065  0.00916516  0.00840541  0.00979942   0.0120536  0.00347114
      95  0.00945557  0.00903093  0.00896832  0.00934783   0.0354157  0.00963212   0.0103716   0.0130879   0.0126538    0.691728   0.0809692    0.203728
     100   0.0182368    0.691423  0.00936336   0.0141076  0.00896001   0.0109366   0.0114777   0.0246167   0.0111036   0.0107201   0.0810945    0.203494
