FRACTION OF PREDICTIONS W/ ERROR > 1:
  OFFSET         0         1         2         3         4         5         6         7         8         9      MEAN        STD
--------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ---------
       0  0.597997         1  0.560484  0.574723  0.526495  0.788436  0.857696  0.590901  0.588169  0.841776  0.692668   0.155669
       5  0.795621  0.564932  0.769382  0.878119  0.599809  0.691528  0.699862  0.780027  0.570511  0.601489  0.695128   0.103284
      10  0.641493  0.906807  0.596624  0.597652  0.517018  0.595644  0.666916  0.612499  0.571015  0.875432   0.65811   0.122615
      15   0.54166  0.807774       0.6  0.618536  0.733139  0.692401  0.679071  0.785432   0.57976   0.71549  0.675326  0.0841579
      20  0.590279  0.657655  0.785941  0.569781  0.613905   0.81517  0.581057  0.654013  0.776673         1  0.704447   0.130688
      25  0.581398  0.744239  0.785119  0.809936  0.746551         1  0.654752   0.73308         1  0.639367  0.769444   0.132708
      30         1   0.63002   0.67104  0.614494  0.890783  0.880417  0.645219  0.584283   0.62465  0.714629  0.725553   0.137021
      35   0.57442  0.687002  0.580397  0.770797  0.814457  0.570008  0.935981   0.63363  0.610679  0.626742  0.680411   0.116127
      40         1  0.556736  0.632407  0.951272  0.569251  0.928905  0.637194  0.875905  0.997945  0.756409  0.790602    0.17102
      45  0.790726   0.97957  0.626585  0.702258   0.69049  0.902169  0.980714   0.74076  0.555815  0.658129  0.762722   0.140147
      50  0.893434  0.636546  0.907117  0.684365  0.996428  0.749019  0.747945  0.596199         1  0.644765  0.785582   0.144132
      55   0.65391  0.643426  0.662666   0.83912  0.738973  0.591076  0.933593  0.915941  0.606206  0.748827  0.733374   0.118615
      60  0.575655  0.675478  0.808177  0.621422  0.823985         1  0.638234  0.773315  0.712721  0.702447  0.733143   0.117339
      65  0.714769  0.838949  0.569294  0.618681  0.584775  0.571255  0.884507  0.598132  0.669469  0.765137  0.681497   0.109199
      70  0.800462  0.729965  0.604147         1  0.699631         1  0.827643  0.584135         1  0.746287  0.799227   0.149525
      75         1  0.653411  0.885949   0.83217  0.894122  0.606917  0.563996  0.657544  0.806623  0.976648  0.787738   0.148925
      80  0.816029   0.81318  0.575078  0.884942  0.607515  0.584513  0.608986  0.812573  0.836229  0.625613  0.716466   0.118452
      85  0.579178  0.682375  0.776021  0.732935  0.670349  0.691507         1  0.701035  0.599636         1  0.743304     0.1393
      90  0.665273  0.717749  0.736922   0.60439  0.921976  0.894909  0.853573  0.599673  0.561864  0.624918  0.718125   0.124247
      95  0.615077  0.590135  0.567131  0.594899  0.990682   0.64845  0.672038   0.80198  0.775917         1  0.725631   0.153464
     100  0.927367         1  0.577374  0.824653  0.589168  0.662665  0.696927  0.972418  0.743169  0.709631  0.770337   0.145826

FRACTION OF PREDICTIONS W/ ERROR > 3:
  OFFSET         0         1         2         3         4         5         6         7         8         9      MEAN        STD
--------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ---------
       0  0.141977         1  0.136748  0.127177  0.113381  0.295719   0.44736  0.153088  0.140646   0.31339  0.286949   0.259519
       5   0.34092  0.142003  0.278287  0.437799  0.148306  0.186451  0.228868  0.288489  0.150781  0.136774  0.233868  0.0961086
      10  0.186035  0.523088  0.159469  0.160216  0.112616   0.14273  0.188696    0.1622  0.126786  0.472733  0.223457   0.139471
      15  0.123614   0.32233  0.154056  0.172919  0.199767  0.205626  0.205229  0.291327  0.156788  0.263453  0.209511  0.0608542
      20   0.13564  0.201802  0.292968  0.142854  0.177756  0.323061  0.152216  0.185483  0.273801         1  0.288558   0.245195
      25  0.160647  0.244811  0.323652  0.309411   0.24857         1  0.172927  0.233371         1  0.194149  0.388754   0.309641
      30         1  0.176457   0.18255  0.193734  0.544966  0.551807  0.178675  0.154441    0.2154  0.263541  0.346157   0.260164
      35  0.156569  0.187364  0.166982  0.283883  0.308351  0.163853  0.709906  0.165464  0.178305  0.168383  0.248906   0.161854
      40         1  0.167032  0.180061  0.766075  0.159374  0.666939  0.192015   0.46297  0.988326  0.268667  0.485146   0.326177
      45  0.303626  0.882673  0.195101   0.27388  0.227696  0.547456  0.893623  0.256462  0.165098  0.193374  0.393899   0.267086
      50  0.596432  0.198819  0.577683  0.211941  0.983936    0.2493  0.270734  0.174535         1  0.170846  0.443423   0.311591
      55  0.205805  0.189974   0.22808  0.410162  0.244028  0.179887  0.656875  0.623065   0.18981   0.30392  0.323161   0.171572
      60  0.182623  0.237052  0.308481  0.206207  0.424765         1   0.19717  0.305492  0.257811  0.283589  0.340319   0.229907
