  OFFSET            0            1            2            3            4            5            6            7            8            9         MEAN          STD
--------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
       0  0.000106163     0.479141   0.00010211  0.000102607  9.31826e-05  0.000228525  0.000282201  0.000124171  0.000110959  0.000208252    0.0480499     0.143697
       5  0.000275472  0.000114284  0.000203279  0.000267593   0.00011994  0.000144454  0.000164408  0.000215185  0.000122111  0.000116974   0.00017437  5.91659e-05
      10  0.000139398  0.000356328  0.000160766  0.000132229  0.000107596  0.000118398  0.000139242  0.000135777  0.000110403  0.000311062   0.00017112  8.32336e-05
      15   0.00010789  0.000223388  0.000126276  0.000146355  0.000173744  0.000151188  0.000160267  0.000216994  0.000126377  0.000202779  0.000163526  3.79581e-05
      20  0.000124742   0.00015599  0.000224966  0.000131136  0.000157864   0.00025014   0.00012688  0.000158449  0.000206361     0.479028    0.0480564     0.143657
      25  0.000151219  0.000195998  0.000226341  0.000226965  0.000195174     0.478975  0.000155651  0.000191836     0.478778  0.000192564    0.0959288     0.191474
      30     0.478915   0.00015895  0.000163192  0.000189488  0.000392452   0.00036951  0.000167658   0.00015539  0.000194512  0.000186109    0.0480892     0.143609
      35  0.000165837  0.000173634  0.000162531  0.000218823  0.000248632  0.000148549  0.000522223  0.000151424  0.000159324  0.000156567  0.000210754  0.000108261
      40     0.479261  0.000164909  0.000166847  0.000599003  0.000152496  0.000464928    0.0001602  0.000350614   0.00213953  0.000210492     0.048367     0.143632
      45  0.000239588  0.000895104  0.000181475  0.000255252  0.000236976   0.00039549  0.000811696  0.000217241  0.000153421  0.000176852   0.00035631  0.000257014
      50  0.000452285  0.000193586  0.000412086  0.000199994   0.00196358  0.000227854  0.000223381  0.000160893     0.479347  0.000169091     0.048335     0.143672
      55  0.000197251  0.000172148  0.000249489  0.000322951  0.000237508  0.000173176  0.000537345  0.000469414  0.000176644  0.000288315  0.000282424  0.000121354
      60  0.000166369  0.000277234  0.000243556  0.000185823  0.000308828     0.479009  0.000223085  0.000251903  0.000228752  0.000234933    0.0481129     0.143632
      65  0.000221171  0.000338707  0.000173945  0.000186232  0.000186376  0.000170202  0.000379311  0.000172361  0.000206567  0.000233822  0.000226869  6.96517e-05
      70   0.00025773  0.000222217  0.000173294     0.479314   0.00021115     0.478888  0.000274136  0.000177747     0.478993  0.000231755     0.143874     0.219434
      75     0.478792  0.000198298  0.000373797  0.000375584  0.000438578  0.000181789  0.000157291  0.000227845  0.000314541  0.000976644    0.0482037      0.14353
      80  0.000330959  0.000257646  0.000169379  0.000374796   0.00020281  0.000197007   0.00022519  0.000293896  0.000335001  0.000182428  0.000256911  6.89766e-05
      85  0.000186096  0.000204046  0.000276126  0.000235215  0.000214514  0.000262198     0.479096  0.000215644  0.000201042     0.478918    0.0959809     0.191513
      90  0.000245892  0.000213955  0.000269147  0.000180276  0.000524493  0.000380106  0.000372617  0.000183293  0.000160014  0.000201188  0.000273098  0.000111107
      95  0.000196177  0.000180938  0.000188239  0.000202317   0.00145236  0.000191805   0.00022948  0.000274782  0.000290447     0.479325    0.0482532     0.143691
     100  0.000451601     0.478905  0.000221373  0.000324603  0.000175527  0.000244785  0.000280731  0.000756994  0.000228269  0.000236182    0.0481825     0.143574
