  WINDOW SIZE           0           1           2           3           4           5           6           7           8           9        MEAN          STD
-------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  -----------
            1   0.0100506   0.0105864   0.0111343   0.0102029  0.00988991   0.0100006  0.00943931    0.010006   0.0112032   0.0103522   0.0102865  0.000524538
           10  0.00901725   0.0101345   0.0105395   0.0102987  0.00928151  0.00924709  0.00924576   0.0100534  0.00918649   0.0116914  0.00986957  0.000798224
           20   0.0103209  0.00947395  0.00918883   0.0114868   0.0171322   0.0116758    0.013709  0.00905453  0.00782198  0.00926982   0.0109134   0.00261742
           30   0.0135029  0.00782324   0.0103009    0.008398  0.00729246   0.0129857    0.010585   0.0108891  0.00883332  0.00793326  0.00985438   0.00206067
           40   0.0152368   0.0219114   0.0124877   0.0113055   0.0384299   0.0073548  0.00807375   0.0133343   0.0308226   0.0124092   0.0171366   0.00968171
           50  0.00819141  0.00836278   0.0124202   0.0111338  0.00946334  0.00808784  0.00797243   0.0141992   0.0100506   0.0148334   0.0104715   0.00244796
           60  0.00824572  0.00883128   0.0132879  0.00865746  0.00869442  0.00899137   0.0113001    0.009173  0.00861807    0.691587   0.0777386     0.204622
           70   0.0109903  0.00803892  0.00988039  0.00966409  0.00975563    0.010865  0.00771944   0.0122503  0.00794093  0.00908994  0.00961951   0.00140167
           80  0.00888176  0.00976379   0.0126277   0.0101178   0.0144548     0.69153    0.010184   0.0164776  0.00987822   0.0103036    0.079422     0.204049
           90  0.00991719   0.0296583   0.0172426  0.00879897  0.00840298   0.0103654   0.0133655   0.0145487  0.00915147   0.0188055   0.0140257   0.00625502
          100   0.0269383   0.0111764    0.691552    0.691598   0.0100412   0.0129655  0.00852813    0.691774   0.0127003   0.0127105    0.216998     0.310763
