FRACTION OF PREDICTIONS W/ ERROR > 1:
  WINDOW SIZE         0         1         2         3         4         5         6         7         8         9      MEAN        STD
-------------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ---------
            1  0.666177  0.667133  0.733417  0.702773  0.682094  0.669444  0.621762  0.670448   0.69367  0.672338  0.677926  0.0274408
           10  0.628475  0.678329  0.714226  0.681947  0.674221  0.656366  0.642222  0.689555  0.668129  0.762353  0.679582   0.035867
           20  0.702285  0.670985  0.636253  0.778097  0.880284  0.764606  0.862941  0.609691  0.585417  0.681862  0.717242  0.0963728
           30  0.843328  0.556453  0.723979  0.613128   0.54016  0.836115  0.759786  0.758736  0.644686    0.6005  0.687687   0.105742
           40  0.878872  0.961274  0.756273  0.779944  0.997852  0.539695  0.604052  0.856533  0.992974  0.824179  0.819165   0.147374
           50  0.600345  0.613535  0.784649  0.795107  0.703971  0.621099  0.611738  0.838878   0.70264  0.887947  0.715991  0.0998552
           60  0.597759  0.650403  0.719388  0.618956  0.597385  0.674705  0.778896   0.63901  0.664387         1  0.694089   0.114843
           70  0.766605  0.581374  0.684939  0.654822  0.660355  0.745523  0.547802  0.810053  0.578759  0.660028  0.669026  0.0814859
           80  0.668231  0.701758   0.83645  0.698396  0.852327         1  0.707712  0.906867  0.687142  0.716957  0.777584    0.10768
           90  0.686731  0.981718  0.894954  0.607322  0.572836  0.717948  0.837236  0.855051  0.630974  0.917999  0.770277   0.137261
          100  0.969926  0.755621         1         1  0.693394   0.82469  0.602914         1  0.822775  0.815117  0.848444   0.133769

FRACTION OF PREDICTIONS W/ ERROR > 3:
  WINDOW SIZE         0         1         2         3         4         5         6         7         8         9      MEAN        STD
-------------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ---------
            1  0.233301  0.265392  0.276945  0.240372   0.24245  0.228283  0.227396  0.234701  0.279209  0.253443  0.248149  0.0185445
           10  0.195682  0.243506  0.238301  0.250928  0.197246  0.198763  0.206769  0.240285  0.193231  0.301739  0.226645  0.0330861
           20  0.263824  0.206218   0.21112  0.287328  0.553369   0.31361  0.411689  0.194337  0.141423  0.189646  0.277256   0.117616
           30  0.418057  0.146472    0.2302  0.175509  0.115567  0.372284  0.249341  0.272869  0.181112  0.148176  0.230959  0.0948363
           40  0.505754  0.802867  0.365788  0.273489  0.986998  0.127267  0.145241  0.382595  0.951516  0.329863  0.487138   0.301326
           50  0.157247  0.143638  0.338189  0.268226  0.196162   0.14254  0.140836  0.427551  0.223218  0.473423  0.251103   0.116848
           60   0.16211  0.168227  0.315536  0.172756  0.180997  0.182864  0.285934     0.194  0.161433         1  0.282386   0.244586
           70  0.264936    0.1652  0.222072  0.212243  0.209161  0.259053  0.148694  0.335746   0.15418  0.185114   0.21564  0.0552903
           80  0.172609  0.209101  0.330999  0.235157  0.454951         1  0.229577  0.573206  0.216689  0.230791  0.365308   0.243382
           90  0.232926  0.906559  0.572533   0.19356   0.18233  0.235658  0.376731  0.437764  0.189731  0.663779  0.399157   0.233889
          100  0.861513   0.27492         1         1  0.219791  0.346721  0.187032         1  0.356714  0.331496  0.557819   0.338645

FRACTION OF PREDICTIONS W/ ERROR > 5:
  WINDOW SIZE          0          1          2          3          4          5          6          7          8          9       MEAN        STD
-------------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
            1  0.0612893  0.0748495  0.0728423  0.0594921  0.0510666  0.0637166  0.0661672  0.0577183   0.104934  0.0770434  0.0689119  0.0142812
           10  0.0488972  0.0756448  0.0745478   0.069343  0.0431556  0.0418485  0.0601704  0.0557591  0.0448127  0.0853075  0.0599487  0.0147285
           20  0.0630675  0.0473123  0.0514903  0.0754849   0.238989  0.0765586   0.108886  0.0575123  0.0277058  0.0505333   0.079754  0.0569387
           30  0.0957961  0.0359469  0.0676922  0.0360869  0.0261899  0.0876263  0.0572582   0.052333  0.0400784   0.033706  0.0532714  0.0225811
           40   0.134434   0.381662   0.111861  0.0740914   0.936997  0.0242769  0.0313733    0.09454   0.788814  0.0877471    0.26658   0.314562
           50  0.0360436   0.037491   0.102715  0.0521512  0.0410626  0.0258188  0.0262157   0.141046  0.0621892   0.135397   0.066013  0.0418707
           60  0.0362321  0.0413213   0.125645  0.0416015  0.0559122  0.0398973  0.0607914   0.056169  0.0392903          1   0.149686   0.284533
           70  0.0670044  0.0359536   0.072701  0.0640161  0.0589732  0.0636192  0.0327785  0.0768099  0.0329185  0.0534168  0.0558191  0.0156346
           80  0.0355817  0.0571782  0.0873199  0.0725643   0.132124          1  0.0560342   0.174897  0.0575518   0.066097   0.173935   0.278165
           90  0.0610801   0.667585   0.200985   0.046207  0.0399496  0.0703729    0.11728   0.159962  0.0484018   0.246025   0.165785   0.180512
          100   0.571579  0.0891027          1          1  0.0613398   0.110304  0.0434072          1   0.102342  0.0885423   0.406662   0.414371

