  WINDOW SIZE            0            1            2            3            4            5            6            7            8            9         MEAN          STD
-------------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
            1  0.000188822  0.000215792  0.000206441  0.000182934  0.000170013  0.000183408  0.000168146  0.000176885  0.000227092  0.000192404  0.000191194  1.85652e-05
           10  0.000148707  0.000175566   0.00019655  0.000181125  0.000144956  0.000154697  0.000154304  0.000173545  0.000146416  0.000215826  0.000169169  2.25447e-05
           20  0.000174228  0.000167156  0.000148243  0.000199531  0.000406124  0.000212212  0.000264791  0.000158722  0.000113835  0.000143932  0.000198877  7.96965e-05
           30   0.00025545  0.000130509  0.000173399   0.00012752  9.98621e-05  0.000245787  0.000176481  0.000184112  0.000135756  0.000115197  0.000164407  5.04428e-05
           40  0.000306592   0.00057394  0.000247819   0.00019513   0.00157647  0.000100383  0.000114735  0.000249399   0.00104378   0.00022992  0.000463817  0.000456582
           50  0.000126837  0.000137226   0.00023709    0.0001856  0.000144609  0.000112408  0.000111703  0.000292137  0.000176055  0.000301203  0.000182487  6.75653e-05
           60  0.000128558  0.000138256   0.00045188   0.00013716  0.000148837  0.000134364   0.00020075  0.000150513  0.000131108     0.479127    0.0480749     0.143684
           70  0.000193048  0.000122756  0.000171881  0.000175696  0.000204914   0.00019262  0.000116873  0.000218189  0.000122081  0.000148139   0.00016662  3.51205e-05
           80  0.000135026  0.000160142  0.000232276  0.000177976  0.000304743     0.479044  0.000178441  0.000355675  0.000169997  0.000178682    0.0480937      0.14365
           90  0.000167902   0.00103936  0.000410235  0.000145928  0.000144478  0.000180605  0.000266033  0.000305862  0.000159711  0.000457483  0.000327759  0.000260076
          100  0.000891745  0.000202996      0.47908     0.479142  0.000178983  0.000250699  0.000140965     0.479384   0.00023707  0.000249838     0.143976     0.219457
