       Mu    Ground Truth      Error      Sigma    Pi
---------  --------------  ---------  ---------  ----
-8.05231       -18.8942    10.8419    0.0314324     1
 5.34781         5.1644     0.183411  0.0130072     1
-4.19604        -2.85513    1.34091   0.0116196     1
15.3359         19.4214     4.08548   0.0164559     1
 2.8147          6.94653    4.13184   0.0126451     1
-0.968414        0.709106   1.67752   0.0121495     1
 3.24289         3.91556    0.672668  0.0155143     1
 0.987305        2.49124    1.50394   0.01269       1
-2.19135         2.49124    4.68259   0.0119893     1
16.185          19.8918     3.70685   0.0163772     1
-5.1235         -3.74619    1.37732   0.0117379     1
-4.62537        -1.07303    3.55234   0.0111319     1
-8.70084        -6.41937    2.28146   0.0154485     1
 0.491272        4.27335    3.78207   0.0148538     1
-5.51328        -2.85513    2.65814   0.0121024     1
 0.735565        2.49124    1.75568   0.014487      1
-5.04642        -3.74619    1.30023   0.0120056     1
-2.08356         4.27335    6.3569    0.0279102     1
 4.07803         6.05548    1.97745   0.0131479     1
-5.07956        -3.74619    1.33337   0.0119933     1
% predictions with error > 5: 0.09127623316291991
